coachType,departure,destination,dptStation,arrStation,dptDateTime,dptTime,ticketLeft
座席高二级,宁波,南京,中心站站,南京,25:00.0,9:25,33
座席高二级,宁波,无锡,中心站站,无锡直,55:00.0,7:55,35
座席高二级,宁波,无锡,中心站站,无锡,05:00.0,9:05,30
座席高二级,宁波,无锡,中心站站,无锡直,10:00.0,11:10,37
座席高二级,宁波,无锡,中心站站,无锡直,35:00.0,13:35,33
座席高二级,宁波,无锡,中心站站,无锡直,20:00.0,16:20,38
座席高一级,宁波,徐州,中心站站,徐州,05:00.0,6:05,52
座席高一级,宁波,徐州,中心站站,徐州,20:00.0,8:20,51
座席高二级,宁波,常州,中心站站,常州直,40:00.0,8:40,35
座席高二级,宁波,常州,中心站站,常州直,05:00.0,14:05,35
座席高三级,宁波,苏州,中心站站,苏州,20:00.0,7:20,36
座席高三级,宁波,苏州,中心站站,苏州,30:00.0,8:30,37
座席高三级,宁波,苏州,中心站站,苏州,05:00.0,10:05,35
座席高三级,宁波,苏州,中心站站,苏州,15:00.0,11:15,37
座席高三级,宁波,苏州,中心站站,苏州,15:00.0,12:15,37
座席高三级,宁波,苏州,中心站站,苏州,25:00.0,13:25,37
座席高三级,宁波,苏州,中心站站,苏州,25:00.0,14:25,35
座席高三级,宁波,苏州,中心站站,苏州,40:00.0,15:40,37
座席高三级,宁波,苏州,中心站站,苏州,10:00.0,18:10,35
座席高二级,宁波,南通,中心站站,南通直,45:00.0,7:45,30
座席高二级,宁波,南通,中心站站,南通直,45:00.0,9:45,34
座席高一级,宁波,南通,中心站站,南通,00:00.0,11:00,40
座席高二级,宁波,南通,中心站站,南通直,50:00.0,13:50,31
座席高二级,宁波,南通,中心站站,南通直,50:00.0,15:50,34
座席高二级,宁波,淮安,中心站站,淮安,25:00.0,9:25,33
座席高一级,宁波,淮安,中心站站,淮安,35:00.0,9:35,49
座席高一级,宁波,淮安,中心站站,淮安,55:00.0,10:55,39
座席高一级,宁波,淮安,中心站站,淮安,30:00.0,15:30,35
座席高一级,宁波,盐城,中心站站,盐城,20:00.0,10:20,48
座席高一级,宁波,盐城,中心站站,盐城,30:00.0,11:30,46
座席高一级,宁波,扬州,中心站站,扬州直,50:00.0,8:50,34
座席高一级,宁波,扬州,中心站站,扬州直,00:00.0,11:00,32
座席高一级,宁波,扬州,中心站站,扬州直,55:00.0,15:55,35
座席中级,宁波,镇江,中心站站,镇江,05:00.0,9:05,33
座席高二级,宁波,镇江,中心站站,镇江,55:00.0,14:55,37
座席高一级,宁波,泰州,中心站站,泰州,45:00.0,10:45,43
